,previous_state,current_state
151,"[[3, 0, 7], [1, 6, 5], [8, 2, 4]]","[[0, 3, 7], [1, 6, 5], [8, 2, 4]]"
152,"[[2, 3, 6], [5, 8, 7], [0, 1, 4]]","[[2, 3, 6], [0, 8, 7], [5, 1, 4]]"
153,"[[2, 6, 0], [5, 3, 7], [1, 8, 4]]","[[2, 6, 7], [5, 3, 0], [1, 8, 4]]"
154,"[[3, 6, 7], [1, 5, 0], [8, 2, 4]]","[[3, 6, 0], [1, 5, 7], [8, 2, 4]]"
155,"[[3, 6, 7], [1, 2, 0], [8, 4, 5]]","[[3, 6, 7], [1, 0, 2], [8, 4, 5]]"
156,"[[3, 6, 7], [1, 2, 4], [5, 0, 8]]","[[3, 6, 7], [1, 0, 4], [5, 2, 8]]"
157,"[[3, 6, 7], [1, 5, 0], [8, 2, 4]]","[[3, 6, 7], [1, 5, 4], [8, 2, 0]]"
158,"[[3, 0, 7], [1, 6, 5], [8, 2, 4]]","[[3, 7, 0], [1, 6, 5], [8, 2, 4]]"
159,"[[3, 7, 4], [2, 6, 0], [1, 5, 8]]","[[3, 7, 4], [2, 6, 8], [1, 5, 0]]"
160,"[[3, 7, 5], [2, 6, 4], [1, 0, 8]]","[[3, 7, 5], [2, 0, 4], [1, 6, 8]]"
161,"[[3, 7, 5], [2, 6, 4], [1, 0, 8]]","[[3, 7, 5], [2, 6, 4], [0, 1, 8]]"
162,"[[3, 7, 5], [2, 8, 6], [1, 0, 4]]","[[3, 7, 5], [2, 8, 6], [0, 1, 4]]"
163,"[[2, 3, 6], [1, 7, 0], [8, 5, 4]]","[[2, 3, 0], [1, 7, 6], [8, 5, 4]]"
164,"[[2, 3, 6], [1, 7, 0], [8, 5, 4]]","[[2, 3, 6], [1, 7, 4], [8, 5, 0]]"
165,"[[2, 3, 6], [5, 7, 4], [1, 0, 8]]","[[2, 3, 6], [5, 0, 4], [1, 7, 8]]"
166,"[[3, 5, 6], [0, 8, 7], [2, 1, 4]]","[[0, 5, 6], [3, 8, 7], [2, 1, 4]]"
167,"[[3, 5, 6], [1, 0, 7], [8, 2, 4]]","[[3, 0, 6], [1, 5, 7], [8, 2, 4]]"
168,"[[3, 5, 6], [1, 0, 7], [8, 2, 4]]","[[3, 5, 6], [1, 7, 0], [8, 2, 4]]"
169,"[[3, 5, 6], [0, 8, 7], [2, 1, 4]]","[[3, 5, 6], [8, 0, 7], [2, 1, 4]]"
170,"[[2, 3, 0], [1, 5, 6], [8, 4, 7]]","[[2, 0, 3], [1, 5, 6], [8, 4, 7]]"
171,"[[2, 3, 6], [5, 7, 4], [1, 0, 8]]","[[2, 3, 6], [5, 7, 4], [0, 1, 8]]"
172,"[[3, 6, 7], [8, 0, 5], [2, 1, 4]]","[[3, 0, 7], [8, 6, 5], [2, 1, 4]]"
173,"[[3, 6, 7], [8, 0, 5], [2, 1, 4]]","[[3, 6, 7], [8, 1, 5], [2, 0, 4]]"
174,"[[3, 6, 7], [8, 0, 5], [2, 1, 4]]","[[3, 6, 7], [8, 5, 0], [2, 1, 4]]"
175,"[[2, 3, 0], [6, 5, 7], [1, 8, 4]]","[[2, 0, 3], [6, 5, 7], [1, 8, 4]]"
176,"[[2, 3, 7], [1, 6, 5], [8, 4, 0]]","[[2, 3, 7], [1, 6, 0], [8, 4, 5]]"
177,"[[3, 5, 0], [2, 8, 6], [1, 4, 7]]","[[3, 0, 5], [2, 8, 6], [1, 4, 7]]"
178,"[[3, 5, 6], [1, 0, 7], [8, 2, 4]]","[[3, 5, 6], [0, 1, 7], [8, 2, 4]]"
179,"[[3, 5, 6], [2, 7, 4], [0, 1, 8]]","[[3, 5, 6], [0, 7, 4], [2, 1, 8]]"
180,"[[6, 2, 7], [3, 5, 0], [1, 8, 4]]","[[6, 2, 0], [3, 5, 7], [1, 8, 4]]"
181,"[[6, 2, 7], [0, 3, 5], [1, 8, 4]]","[[6, 2, 7], [1, 3, 5], [0, 8, 4]]"
182,"[[6, 0, 7], [3, 2, 4], [1, 5, 8]]","[[6, 2, 7], [3, 0, 4], [1, 5, 8]]"
183,"[[6, 2, 7], [3, 5, 0], [1, 8, 4]]","[[6, 2, 7], [3, 5, 4], [1, 8, 0]]"
184,"[[6, 0, 7], [3, 2, 4], [1, 5, 8]]","[[6, 7, 0], [3, 2, 4], [1, 5, 8]]"
185,"[[2, 0, 6], [1, 3, 7], [8, 5, 4]]","[[0, 2, 6], [1, 3, 7], [8, 5, 4]]"
186,"[[2, 3, 6], [5, 8, 0], [1, 4, 7]]","[[2, 3, 0], [5, 8, 6], [1, 4, 7]]"
187,"[[0, 6, 7], [3, 8, 5], [2, 1, 4]]","[[6, 0, 7], [3, 8, 5], [2, 1, 4]]"
188,"[[3, 0, 6], [2, 8, 7], [1, 4, 5]]","[[0, 3, 6], [2, 8, 7], [1, 4, 5]]"
189,"[[3, 6, 7], [0, 1, 5], [8, 2, 4]]","[[0, 6, 7], [3, 1, 5], [8, 2, 4]]"
190,"[[0, 3, 6], [2, 4, 7], [1, 5, 8]]","[[2, 3, 6], [0, 4, 7], [1, 5, 8]]"
191,"[[2, 3, 7], [1, 0, 5], [8, 6, 4]]","[[2, 3, 7], [1, 5, 0], [8, 6, 4]]"
192,"[[2, 3, 7], [6, 5, 4], [1, 8, 0]]","[[2, 3, 7], [6, 5, 4], [1, 0, 8]]"
193,"[[3, 5, 6], [2, 0, 8], [1, 4, 7]]","[[3, 0, 6], [2, 5, 8], [1, 4, 7]]"
194,"[[3, 5, 6], [2, 0, 8], [1, 4, 7]]","[[3, 5, 6], [0, 2, 8], [1, 4, 7]]"
195,"[[3, 5, 6], [2, 0, 8], [1, 4, 7]]","[[3, 5, 6], [2, 4, 8], [1, 0, 7]]"
196,"[[3, 6, 7], [2, 4, 8], [1, 0, 5]]","[[3, 6, 7], [2, 4, 8], [0, 1, 5]]"
197,"[[3, 6, 7], [0, 1, 5], [8, 2, 4]]","[[3, 6, 7], [8, 1, 5], [0, 2, 4]]"
198,"[[5, 2, 6], [3, 0, 7], [1, 8, 4]]","[[5, 2, 6], [3, 7, 0], [1, 8, 4]]"
199,"[[2, 3, 6], [0, 1, 7], [8, 5, 4]]","[[0, 3, 6], [2, 1, 7], [8, 5, 4]]"
200,"[[2, 3, 6], [1, 0, 5], [8, 4, 7]]","[[2, 3, 6], [1, 4, 5], [8, 0, 7]]"
201,"[[2, 3, 6], [5, 8, 0], [1, 4, 7]]","[[2, 3, 6], [5, 0, 8], [1, 4, 7]]"
202,"[[2, 3, 6], [0, 1, 7], [8, 5, 4]]","[[2, 3, 6], [8, 1, 7], [0, 5, 4]]"
203,"[[2, 0, 6], [1, 3, 7], [8, 5, 4]]","[[2, 6, 0], [1, 3, 7], [8, 5, 4]]"
204,"[[0, 2, 3], [5, 7, 6], [1, 8, 4]]","[[5, 2, 3], [0, 7, 6], [1, 8, 4]]"
205,"[[3, 0, 7], [5, 6, 4], [2, 1, 8]]","[[0, 3, 7], [5, 6, 4], [2, 1, 8]]"
206,"[[2, 3, 7], [1, 0, 5], [8, 6, 4]]","[[2, 0, 7], [1, 3, 5], [8, 6, 4]]"
207,"[[2, 3, 7], [1, 0, 5], [8, 6, 4]]","[[2, 3, 7], [0, 1, 5], [8, 6, 4]]"
208,"[[2, 3, 7], [1, 6, 4], [0, 5, 8]]","[[2, 3, 7], [1, 6, 4], [5, 0, 8]]"
209,"[[3, 6, 7], [5, 4, 0], [2, 1, 8]]","[[3, 6, 0], [5, 4, 7], [2, 1, 8]]"
210,"[[3, 6, 7], [5, 1, 4], [2, 0, 8]]","[[3, 6, 7], [5, 1, 4], [0, 2, 8]]"
211,"[[3, 6, 7], [5, 1, 4], [2, 0, 8]]","[[3, 6, 7], [5, 1, 4], [2, 8, 0]]"
212,"[[3, 0, 7], [5, 6, 4], [2, 1, 8]]","[[3, 7, 0], [5, 6, 4], [2, 1, 8]]"
213,"[[3, 7, 5], [1, 2, 6], [0, 8, 4]]","[[3, 7, 5], [1, 2, 6], [8, 0, 4]]"
214,"[[3, 0, 6], [2, 8, 7], [1, 4, 5]]","[[3, 8, 6], [2, 0, 7], [1, 4, 5]]"
215,"[[5, 2, 6], [3, 0, 7], [1, 8, 4]]","[[5, 2, 6], [3, 8, 7], [1, 0, 4]]"
216,"[[6, 2, 7], [3, 8, 5], [1, 0, 4]]","[[6, 2, 7], [3, 8, 5], [1, 4, 0]]"
